카테고리,회사명,제품,가격,사용시간,흡입력
핸디스틱청소기,기펠,듀얼 글라이드 360 P11,380000.0,30.0,230.0
핸디스틱청소기,에이스전자,에이스 K9,263400.0,35.0,250.0
핸디스틱청소기,블랙앤데커,DVA320BF,55930.0,10.0,
핸디스틱청소기,블랙앤데커,TPD1810BGEXT,93060.0,13.0,
핸디스틱청소기,쿠쿠전자,인스퓨어 파워클론 CVC-A1410UG,272000.0,35.0,230.0
핸디스틱청소기,툴앤툴,네오스틱 S1,197000.0,50.0,250.0
핸디스틱청소기,비브르,스톰파워 V25000,158000.0,40.0,200.0
핸디스틱청소기,짐머만,ZMC-1991,82700.0,20.0,
핸디스틱청소기,다이슨,V15 디텍트 앱솔루트 엑스트라,1190000.0,60.0,240.0
핸디스틱청소기,샤오미,지미 JV85 프로,135200.0,70.0,250.0
핸디스틱청소기,테팔,엑스퍼트 3.60 TY6933,268410.0,45.0,
핸디스틱청소기,Laresar,Elite 3,149980.0,50.0,300.0
핸디스틱청소기,DIBEA,DW200,79450.0,35.0,100.0
핸디스틱청소기,드리미,V12 slim,264880.0,55.0,210.0
핸디스틱청소기,로이체,RVC-3000,97300.0,30.0,150.0
핸디스틱청소기,캐치웰,C10,144490.0,30.0,
핸디스틱청소기,삼성전자,제트 VS20T9278S7,863990.0,60.0,200.0
핸디스틱청소기,쎈스톰,에어쎈 EVC-A010ARD,129000.0,35.0,
핸디스틱청소기,OYEAH,YK-330,32900.0,17.0,65.0
핸디스틱청소기,다이슨,V6 헤파,989000.0,20.0,100.0
핸디스틱청소기,LG전자,코드제로 A9S AT9471,825510.0,60.0,210.0
핸디스틱청소기,르젠,LZVC-L7400,91180.0,50.0,220.0
핸디스틱청소기,텀스,퓨어클린 멀티 슬림 TMDF-FB2a,53110.0,,160.0
핸디스틱청소기,다이슨,V8 슬림 플러피+,564990.0,40.0,
핸디스틱청소기,에어로코리아,솔러스에어 AIR651V,65550.0,15.0,
핸디스틱청소기,일렉트로룩스,퓨어 Q9 PQ91-3EM,404990.0,55.0,
핸디스틱청소기,삼성전자,비스포크 제트 VS20A957E2,611120.0,60.0,210.0
핸디스틱청소기,드리미,T30,399000.0,90.0,270.0
핸디스틱청소기,로이드미,X30 프로,251410.0,70.0,265.0
핸디스틱청소기,에이스전자,에이스 K7,244020.0,70.0,200.0
핸디스틱청소기,모던하우스,LT0621011,52900.0,,
